"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"2326",2015,2,"WN","Southwest Airlines Co.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",1327,193,22,3,8037,1669,597,820,0,4951
"2542",2015,3,"DL","Delta Air Lines Inc.","HDN","Hayden, CO: Yampa Valley",29,4,0,0,171,66,0,12,0,93
"423",2015,1,"EV","ExpressJet Airlines Inc.","BOS","Boston, MA: Logan International",186,45,16,1,2032,785,0,722,0,525
"2141",2015,2,"OO","SkyWest Airlines Inc.","CNY","Moab, UT: Canyonlands Field",48,2,1,0,146,0,140,6,0,0
"1051",2015,1,"US","US Airways Inc.","BUF","Buffalo, NY: Buffalo Niagara International",111,23,0,1,933,532,0,164,0,237
"11029",2015,10,"OO","SkyWest Airlines Inc.","DLH","Duluth, MN: Duluth International",187,23,0,1,864,403,0,180,0,281
"2912",2015,3,"MQ","Envoy Air","JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",205,65,16,2,2908,1127,247,596,0,938
"8060",2015,8,"AA","American Airlines Inc.","JAC","Jackson, WY: Jackson Hole",67,13,0,0,701,387,13,16,0,285
"2853",2015,3,"F9","Frontier Airlines Inc.","SAN","San Diego, CA: San Diego International",61,12,0,0,708,38,0,202,0,468
"10108",2015,9,"UA","United Air Lines Inc.","MCI","Kansas City, MO: Kansas City International",104,19,0,1,1078,173,58,122,0,725
"8424",2015,8,"EV","ExpressJet Airlines Inc.","LCH","Lake Charles, LA: Lake Charles Regional",115,12,4,0,882,371,16,236,0,259
"13495",2015,12,"WN","Southwest Airlines Co.","RNO","Reno, NV: Reno/Tahoe International",547,173,4,1,8011,2521,0,609,0,4881
"11684",2015,11,"EV","ExpressJet Airlines Inc.","JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",352,63,7,1,3396,1521,495,653,0,727
"9079",2015,8,"WN","Southwest Airlines Co.","ALB","Albany, NY: Albany International",369,86,6,1,5367,1860,470,731,0,2306
"3264",2015,3,"UA","United Air Lines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",189,50,0,0,2071,1366,106,432,0,167
"9532",2015,9,"EV","ExpressJet Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",261,29,2,1,1672,927,0,424,0,321
"8344",2015,8,"DL","Delta Air Lines Inc.","MSN","Madison, WI: Dane County Regional-Truax Field",239,37,0,0,2493,1331,121,312,0,729
"11353",2015,11,"AA","American Airlines Inc.","MEM","Memphis, TN: Memphis International",124,25,0,0,1226,554,75,124,0,473
"10973",2015,10,"OO","SkyWest Airlines Inc.","DEN","Denver, CO: Denver International",4006,533,19,5,33791,14805,1747,7085,29,10125
"10601",2015,10,"EV","ExpressJet Airlines Inc.","BRO","Brownsville, TX: Brownsville South Padre Island International",162,15,5,1,1310,438,0,619,0,253
"9974",2015,9,"OO","SkyWest Airlines Inc.","KTN","Ketchikan, AK: Ketchikan International",7,1,0,0,59,59,0,0,0,0
"12298",2015,11,"OO","SkyWest Airlines Inc.","RSW","Fort Myers, FL: Southwest Florida International",1,0,0,0,0,0,0,0,0,0
"9844",2015,9,"NK","Spirit Air Lines","RSW","Fort Myers, FL: Southwest Florida International",95,35,0,0,1771,491,20,589,0,671
"10995",2015,10,"OO","SkyWest Airlines Inc.","ONT","Ontario, CA: Ontario International",471,75,2,0,5082,2327,0,352,0,2403
"10439",2015,10,"DL","Delta Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",2325,292,1,4,19339,6997,665,7006,0,4671
"2817",2015,3,"EV","ExpressJet Airlines Inc.","MYR","Myrtle Beach, SC: Myrtle Beach International",147,30,1,0,1573,855,0,77,0,641
"2081",2015,2,"UA","United Air Lines Inc.","MIA","Miami, FL: Miami International",322,88,8,0,5042,2363,430,622,0,1627
"2940",2015,3,"EV","ExpressJet Airlines Inc.","MHK","Manhattan/Ft. Riley, KS: Manhattan Regional",24,8,1,0,552,249,0,13,0,290
"8027",2015,7,"WN","Southwest Airlines Co.","SLC","Salt Lake City, UT: Salt Lake City International",821,287,0,2,15748,5969,83,1022,0,8674
"8349",2015,8,"DL","Delta Air Lines Inc.","PIT","Pittsburgh, PA: Pittsburgh International",355,41,0,0,3283,1377,1235,222,0,449
"5006",2015,5,"EV","ExpressJet Airlines Inc.","MEI","Meridian, MS: Key Field",83,23,2,1,2485,1560,0,151,0,774
"2340",2015,3,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",889,168,19,1,9746,3673,183,1833,37,4020
"5202",2015,5,"HA","Hawaiian Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",136,10,0,1,670,302,0,0,0,368
"8500",2015,8,"EV","ExpressJet Airlines Inc.","AVL","Asheville, NC: Asheville Regional",148,20,2,0,1171,490,0,154,0,527
"9206",2015,9,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",243,50,0,1,2346,1109,181,532,0,524
"855",2015,1,"OO","SkyWest Airlines Inc.","HLN","Helena, MT: Helena Regional",110,14,1,1,720,213,151,98,0,258
"1940",2015,2,"OO","SkyWest Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",216,48,5,1,3499,1577,715,357,0,850
"10630",2015,10,"EV","ExpressJet Airlines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",212,35,1,0,2306,1431,0,315,0,560
"4784",2015,5,"B6","JetBlue Airways","SLC","Salt Lake City, UT: Salt Lake City International",124,20,0,0,1060,467,0,397,0,196
"10089",2015,9,"UA","United Air Lines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",103,20,0,0,977,539,0,296,0,142
"5467",2015,5,"OO","SkyWest Airlines Inc.","SAF","Santa Fe, NM: Santa Fe Municipal",31,2,0,0,117,0,0,0,0,117
"9669",2015,9,"F9","Frontier Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",88,17,0,1,897,134,0,498,0,265
"6107",2015,6,"DL","Delta Air Lines Inc.","XNA","Fayetteville, AR: Northwest Arkansas Regional",66,9,0,0,615,302,12,21,0,280
