"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"8528",2015,8,"EV","ExpressJet Airlines Inc.","MTJ","Montrose/Delta, CO: Montrose Regional",21,1,0,1,16,0,0,16,0,0
"8538",2015,8,"EV","ExpressJet Airlines Inc.","FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",95,18,0,0,1244,885,0,162,0,197
"8539",2015,8,"EV","ExpressJet Airlines Inc.","BMI","Bloomington/Normal, IL: Central Illinois Regional",113,30,0,0,1817,1131,0,80,0,606
"8540",2015,8,"EV","ExpressJet Airlines Inc.","BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",29,3,0,0,146,0,0,0,0,146
"8548",2015,8,"EV","ExpressJet Airlines Inc.","VLD","Valdosta, GA: Valdosta Regional",87,23,1,0,1387,948,0,74,0,365
"8551",2015,8,"EV","ExpressJet Airlines Inc.","GTR","Columbus, MS: Golden Triangle Regional",88,18,1,0,1420,559,0,115,0,746
"8553",2015,8,"EV","ExpressJet Airlines Inc.","MCO","Orlando, FL: Orlando International",6,2,0,0,171,124,0,47,0,0
"8561",2015,8,"EV","ExpressJet Airlines Inc.","EWN","New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",57,15,0,1,1034,524,0,93,0,417
"8562",2015,8,"EV","ExpressJet Airlines Inc.","MLB","Melbourne, FL: Melbourne International",13,4,0,0,205,134,0,16,0,55
"8563",2015,8,"EV","ExpressJet Airlines Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",26,5,0,0,519,445,0,33,0,41
"8566",2015,8,"F9","Frontier Airlines Inc.","LAS","Las Vegas, NV: McCarran International",453,111,0,3,6716,1597,97,3089,0,1933
"8578",2015,8,"F9","Frontier Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",196,39,0,0,2205,862,16,724,0,603
"8588",2015,8,"F9","Frontier Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",151,28,0,0,1297,306,0,392,0,599
"8594",2015,8,"F9","Frontier Airlines Inc.","MEM","Memphis, TN: Memphis International",44,4,0,0,262,0,0,78,0,184
"8602",2015,8,"F9","Frontier Airlines Inc.","MCI","Kansas City, MO: Kansas City International",31,7,0,0,559,77,0,71,0,411
"8608",2015,8,"EV","ExpressJet Airlines Inc.","ISN","Williston, ND: Sloulin Field International",31,6,0,0,209,79,0,130,0,0
"8612",2015,8,"F9","Frontier Airlines Inc.","FSD","Sioux Falls, SD: Joe Foss Field",13,3,0,0,112,40,0,72,0,0
"8615",2015,8,"HA","Hawaiian Airlines Inc.","OGG","Kahului, HI: Kahului Airport",1222,210,10,3,11470,6647,209,146,0,4468
"8621",2015,8,"HA","Hawaiian Airlines Inc.","SFO","San Francisco, CA: San Francisco International",62,11,0,0,324,298,0,9,2,15
